source,target,weight
Kallark,Scintilla,12.0
Piotr Rasputin,Red Queen,12.0
Frederick Dukes,Vera Cantor,12.0
Grannz,Thomas Cassidy,12.0
Imperial Guard,Cain Marko,12.0
Roberto Da Costa,Fantastic Four,12.0
James Howlett,Puff,12.0
Alexander Summers,Vril-Rokk,12.0
Lorna Dane,Vril-Rokk,12.0
Kevin Plunder,Starbolt,12.0
Cain Marko,Astra (Imperial Guard),12.0
Charles Xavier,Sentinels Mk VI,12.0
Elaine Grey,Jimaine Szardos,12.0
Electron (Imperial Guard),Soul-Drinker,12.0
Cain Marko,Electron (Imperial Guard),12.0
Jeanne-Marie Beaubier,Shiro Yoshida,12.0
Thomas Cassidy,Sybil (Oracle),12.0
Susan Storm,Illyana Rasputina,12.0
Frederick Dukes,Narya,12.0
Narya,Frederick Dukes,12.0
Hobgoblin (Imperial Guard),Sean Cassidy,12.0
Titan,Lorna Dane,12.0
Imperial Guard,Hobgoblin (Imperial Guard),12.0
Kevin MacTaggert,Moses Magnum,12.0
Zabu,Sybil (Oracle),12.0
Elizabeth Braddock,Xi'an Coy Manh,12.0
Davan Shakari,Jean Grey,12.0
Phoenix Force,Moses Magnum,12.0
Thomas Cassidy,Karl Lykos,12.0
Soul-Drinker,Astra (Imperial Guard),12.0
D'ken Neramani,Grannz,12.0
James Madrox,Ferdie Duncan,12.0
Avengers,Rahne Sinclair,12.0
Arcade,Phoenix Force,12.0
Vril-Rokk,Alexander Summers,12.0
Nga Coy Manh,Leong Coy Manh,12.0
Sean Cassidy,Frederick Dukes,12.0
Scintilla,Neutron (Imperial Guard),12.0
Hellfire Club,Vanisher,12.0
Thomas Cassidy,Vril-Rokk,12.0
Carol Danvers,Brian Braddock,12.0
Alexander Summers,Henry Hawk,12.0
Jean Grey,Imperial Guard,12.0
Hobgoblin (Imperial Guard),Thomas Cassidy,12.0
Grannz,Benjamin Grimm,12.0
Karl Lykos,Jean Grey,12.0
Lorna Dane,Imperial Guard,12.0
Scintilla,Hobgoblin (Imperial Guard),12.0
Phoenix Force,Jonathan Storm,12.0
Scintilla,Starbolt,12.0
Electron (Imperial Guard),Max Eisenhardt,12.0
Samuel Guthrie,Jonathan Storm,12.0
Townshend Horgan,Jean Grey,12.0
Titan,Kevin Plunder,12.0
Cain Marko,Rita Wayword,12.0
Alexander Summers,Gordon Keefer,12.0
James Hudson,Phoenix Force,12.0
Shiro Yoshida,Henry Hawk,12.0
Lorna Dane,Kevin Plunder,12.0
Shiro Yoshida,Jeanne-Marie Beaubier,12.0
Peter Parker,Sebastian Shaw,12.0
Vril-Rokk,Lorna Dane,12.0
Astra (Imperial Guard),Mentor (Imperial Guard),12.0
Cain Marko,Jason Wyngarde,12.0
Stephen Strange,Sean Cassidy,12.0
Jester IV,X-Men,12.0
Titan,Fang (Imperial Guard),12.0
Norman Belmont,Sally Harding,12.0
Fang (Imperial Guard),Alexander Summers,12.0
David Munroe,Phoenix Force,12.0
Vril-Rokk,Soul-Drinker,12.0
Benjamin Grimm,Peter Parker,12.0
Thomas Cassidy,Hobgoblin (Imperial Guard),12.0
Electron (Imperial Guard),Sybil (Oracle),12.0
Narya,Shiro Yoshida,12.0
Wanda Maximoff (Earth-8591),Vision (Earth-8591),12.0
Kallark,Zabu,12.0
Pietro Maximoff,Brotherhood of Evil Mutants,12.0
Fang (Imperial Guard),Vril-Rokk,12.0
Veronica Dultry,Shiro Yoshida,12.0
Neutron (Imperial Guard),Scintilla,12.0
Tanya Anderssen,Jean Grey,12.0
Punchout,Carol Danvers,12.0
X-Men,Jester IV,12.0
Peg Lonestar,Magus (Technarch),12.0
Fang (Imperial Guard),Titan,12.0
Kodiak Noatak,Tommy (Morlock),12.0
Sybil (Oracle),Thomas Cassidy,12.0
Sybil (Oracle),Astra (Imperial Guard),12.0
Phoenix Force,Shiro Yoshida,12.0
Peg Lonestar,Death,12.0
Lorna Dane,James Hudson,12.0
Alexander Summers,Hobgoblin (Imperial Guard),12.0
Fantastic Four,Roberto Da Costa,12.0
Francois Le Blanc,Alexander Summers,12.0
Jean Grey,Sybil (Oracle),12.0
Piotr Rasputin,Executioner (Crazy Gang),12.0
Imperial Guard,Lorna Dane,12.0
Kallark,James Hudson,12.0
Frederick Dukes,Tanya Anderssen,12.0
X-Factor,Wanda Maximoff,12.0
Executioner (Crazy Gang),X-Men,12.0
Tanya Anderssen,Zabu,12.0
Jimaine Szardos,Jean Grey,12.0
Jean Grey,Grannz,12.0
Fang (Imperial Guard),Cain Marko,12.0
Garokk,Max Eisenhardt,12.0
Sebastian Shaw,Benjamin Grimm,12.0
Stephen Strange,Jean Grey,12.0
Lorna Dane,Starbolt,12.0
Alexander Summers,Candace Southern,12.0
Neutron (Imperial Guard),Max Eisenhardt,12.0
Astra (Imperial Guard),Thomas Cassidy,12.0
Benjamin Grimm,Illyana Rasputina,12.0
Karl Lykos,Cain Marko,12.0
Piotr Rasputin,Leong Coy Manh,12.0
Cain Marko,Grannz,12.0
Roberto Da Costa,Jonathan Storm,12.0
Grannz,Lorna Dane,12.0
Starbolt,Zabu,12.0
Alexander Summers,Luchino Nefaria,12.0
Titan,Hobgoblin (Imperial Guard),12.0
Zelda Kurtzberg,Mesmero (Vincent),12.0
Starbolt,Benjamin Grimm,12.0
Grannz,Zabu,12.0
Beyonder,Lilandra Neramani,12.0
Callisto,X-Factor,12.0
Hobgoblin (Imperial Guard),Titan,12.0
Thomas Cassidy,Titan,12.0
Jean Grey,Stephen Strange,12.0
Wanda Maximoff,Brotherhood of Evil Mutants,12.0
Sean Cassidy,Fang (Imperial Guard),12.0
Mortimer Toynbee,Thomas Cassidy,12.0
Tanya Anderssen,Frederick Dukes,12.0
Titan,Alexander Summers,12.0
Thomas Cassidy,Imperial Guard,12.0
Lilandra Neramani,Steven Rogers,12.0
John Proudstar,Shiro Yoshida,12.0
D'ken Neramani,Jean Grey,12.0
Neutron (Imperial Guard),Alexander Summers,12.0
Harold Leland,Stephen Strange,12.0
Janet Van Dyne,Amara Aquilla,12.0
Astra (Imperial Guard),Alexander Summers,12.0
Shiro Yoshida,James Hudson,12.0
Lorna Dane,Electron (Imperial Guard),12.0
Pietro Maximoff,Candace Southern,12.0
Vanisher,Sean Cassidy,12.0
Arcade,James Hudson,12.0
James Hudson,Moira MacTaggert (Earth-TRN748),12.0
Hobgoblin (Imperial Guard),Cain Marko,12.0
Tanya Anderssen,Garokk,12.0
D'ken Neramani,Jonathan Storm,12.0
Illyana Rasputina,Reed Richards,12.0
Amara Aquilla,Janet Van Dyne,12.0
Selene Gallio,Alexander Summers,12.0
Illyana Rasputina,Benjamin Grimm,12.0
Illyana Rasputina,Fantastic Four,12.0
Electron (Imperial Guard),Fang (Imperial Guard),12.0
Peter Parker,Stephen Strange,12.0
Hobgoblin (Imperial Guard),Benjamin Grimm,12.0
Luchino Nefaria,Alexander Summers,12.0
Jean Grey,Kevin MacTaggert,12.0
Steven Rogers,Cr'reee,12.0
British Army,Lockheed,12.0
Phoenix Force,Arcade,12.0
Neutron (Imperial Guard),Cain Marko,12.0
Soul-Drinker,Electron (Imperial Guard),12.0
Sybil (Oracle),Kevin Plunder,12.0
Warren Worthington III,Bruce Banner,12.0
Tanya Anderssen,Mortimer Toynbee,12.0
Brotherhood of Evil Mutants,Pietro Maximoff,12.0
Hobgoblin (Imperial Guard),Alexander Summers,12.0
Hobgoblin (Imperial Guard),Phoenix Force,12.0
Sebastian Shaw,Frederick Dukes,12.0
Stephen Strange,Harold Leland,12.0
Jean Grey,Vril-Rokk,12.0
Jimaine Szardos,John Grey,12.0
Piotr Rasputin,Knave (Crazy Gang),12.0
Sybil (Oracle),Jean Grey,12.0
Grannz,Electron (Imperial Guard),12.0
Candace Southern,Frederick Dukes,12.0
Cain Marko,Karl Lykos,12.0
Steven Rogers,Raza Longknife,12.0
Franklin Richards (Earth-811),Max Eisenhardt (Earth-811),12.0
Jean Grey,Ani-Men,12.0
Astra (Imperial Guard),Grannz,12.0
Kallark,Hobgoblin (Imperial Guard),12.0
Carol Danvers,Jimaine Szardos,12.0
Benjamin Grimm,Scintilla,12.0
Astra (Imperial Guard),Hobgoblin (Imperial Guard),12.0
Alexander Summers,Titan,12.0
Fang (Imperial Guard),Max Eisenhardt,12.0
Phoenix Force,Scintilla,12.0
Moira MacTaggert (Earth-TRN748),Sybil (Oracle),12.0
Hobgoblin (Imperial Guard),Grannz,12.0
Scintilla,D'ken Neramani,12.0
Jonathan Storm,New Mutants,12.0
Candace Southern,Moira MacTaggert (Earth-TRN748),12.0
Imperial Guard,James Hudson,12.0
Sharon Kelly,James Howlett,12.0
Henry Hawk,Alexander Summers,12.0
Grannz,Kevin Plunder,12.0
James Howlett,Sharon Kelly,12.0
Phoenix Force,N'Daré,12.0
Alexander Summers,Ani-Men,12.0
Benjamin Grimm,Starbolt,12.0
Cain Marko,Neutron (Imperial Guard),12.0
Tanya Anderssen,Cain Marko,12.0
Soul-Drinker,Mentor (Imperial Guard),12.0
Luchino Nefaria,Shiro Yoshida,12.0
Sage,Lilandra Neramani,12.0
Starbolt,James Hudson,12.0
Hobgoblin (Imperial Guard),Electron (Imperial Guard),12.0
Imperial Guard,Jean Grey,12.0
Sean Cassidy,Scintilla,12.0
Scintilla,Sean Cassidy,12.0
Electron (Imperial Guard),Mentor (Imperial Guard),12.0
Jean Grey,Henry Hawk,12.0
Susan Storm,Fantastic Four,12.0
Hobgoblin (Imperial Guard),Lorna Dane,12.0
Starbolt,Scintilla,12.0
Stephen Strange,Hellfire Club,12.0
Moses Magnum,Phoenix Force,12.0
Robert Drake,Brotherhood of Evil Mutants,12.0
Sean Cassidy,Tanya Anderssen,12.0
Hobgoblin (Imperial Guard),Kallark,12.0
Lorna Dane,Hobgoblin (Imperial Guard),12.0
Puff,Shiro Yoshida,12.0
Lorna Dane,Neutron (Imperial Guard),12.0
Shiro Yoshida,Kevin MacTaggert,12.0
Kurt Wagner (Earth-8280),Belasco,12.0
Karl Lykos,Thomas Cassidy,12.0
Sybil (Oracle),Electron (Imperial Guard),12.0
Susan Storm,Roberto Da Costa,12.0
Lorna Dane,Harold Leland,12.0
Kallark,Thomas Cassidy,12.0
Tanya Anderssen,Kevin Plunder,12.0
Moira MacTaggert (Earth-TRN748),Shiro Yoshida,12.0
Mesmero (Vincent),Zelda Kurtzberg,12.0
Shiro Yoshida,Phoenix Force,12.0
Charles Xavier,Autumn Rolfson,12.0
Alexander Summers,Kevin Plunder,12.0
Jean Grey,Jonathan Storm,12.0
Moira MacTaggert (Earth-TRN748),Stephen Strange,12.0
Benjamin Grimm,Roberto Da Costa,12.0
Joshua N'Dingi,James Braddock Jr.,12.0
John Grey,Jimaine Szardos,12.0
Kevin Plunder,Alexander Summers,12.0
Reed Richards,Illyana Rasputina,12.0
Jennie Banks,Joseph MacTaggert,12.0
Scintilla,Vril-Rokk,12.0
Max Eisenhardt,Harold Leland,12.0
X-Men,Knave (Crazy Gang),12.0
Phoenix Force,Peter Parker,12.0
Starbolt,Astra (Imperial Guard),12.0
Moira MacTaggert (Earth-TRN748),Candace Southern,12.0
Susan Storm,Benjamin Grimm,12.0
Max Eisenhardt,Candace Southern,12.0
Bulk,Glow Worm,12.0
Jonathan Storm,Phoenix Force,12.0
Sybil (Oracle),Benjamin Grimm,12.0
Candace Southern,Alexander Summers,12.0
Starbolt,Kevin Plunder,12.0
Frederick Dukes,Thomas Cassidy,12.0
Fang (Imperial Guard),Electron (Imperial Guard),12.0
Imperial Guard,Kevin Plunder,12.0
Vera Cantor,Mesmero (Vincent),12.0
Kevin Plunder,Tanya Anderssen,12.0
Gordon Keefer,Lorna Dane,12.0
Jester IV,Piotr Rasputin,12.0
Alexander Summers,Imperial Guard,12.0
Peter Parker,Harold Leland,12.0
Donald Pierce,Candace Southern,12.0
Jean Grey,Veronica Dultry,12.0
Zabu,Vril-Rokk,12.0
Henry Hawk,Lorna Dane,12.0
James Hudson,Starbolt,12.0
Moses Magnum,Alexander Summers,12.0
Grannz,Jean Grey,12.0
Neutron (Imperial Guard),Thomas Cassidy,12.0
Moira MacTaggert (Earth-TRN748),James Hudson,12.0
Lockheed,British Army,12.0
Namor McKenzie,Sean Cassidy,12.0
Moses Magnum,Moira MacTaggert (Earth-TRN748),12.0
Stephen Strange,Moira MacTaggert (Earth-TRN748),12.0
Fang (Imperial Guard),Phoenix Force,12.0
Alexander Summers,Starbolt,12.0
Knave (Crazy Gang),Piotr Rasputin,12.0
D'ken Neramani,Scintilla,12.0
Norman Belmont,Fran Morrow,12.0
Max Eisenhardt (Earth-811),Franklin Richards (Earth-811),12.0
Lorna Dane,Henry Hawk,12.0
Henry McCoy,Brotherhood of Evil Mutants,12.0
Tanya Anderssen,Sean Cassidy,12.0
Stephen Strange,Sebastian Shaw,12.0
Candace Southern,Mortimer Toynbee,12.0
Moses Magnum,Lorna Dane,12.0
Kevin Plunder,Sybil (Oracle),12.0
Kallark,Kevin Plunder,12.0
Xi'an Coy Manh,Elizabeth Braddock,12.0
Thomas Cassidy,Grannz,12.0
Shiro Yoshida,Walter Langkowski,12.0
James Hudson,Shiro Yoshida,12.0
Veronica Dultry,Alexander Summers,12.0
Lorna Dane,Grannz,12.0
Vril-Rokk,Hobgoblin (Imperial Guard),12.0
Benjamin Grimm,Susan Storm,12.0
Henry Hawk,Jean Grey,12.0
Hobgoblin (Imperial Guard),Sybil (Oracle),12.0
Sean Cassidy,Hobgoblin (Imperial Guard),12.0
Sebastian Shaw,Peter Parker,12.0
Frederick Dukes,Stephen Strange,12.0
Lorna Dane,Luchino Nefaria,12.0
Astra (Imperial Guard),Sybil (Oracle),12.0
Phoenix Force,Victor Creed,12.0
Shiro Yoshida,John Proudstar,12.0
Karl Lykos,Phoenix Force,12.0
Astra (Imperial Guard),Fang (Imperial Guard),12.0
John Proudstar,Moira MacTaggert (Earth-TRN748),12.0
Stephen Strange,Phoenix Force,12.0
Arcade,Candace Southern,12.0
Cain Marko,Scintilla,12.0
Alexander Summers,Neutron (Imperial Guard),12.0
Lorna Dane,Sebastian Shaw,12.0
Steven Rogers,Christopher Summers,12.0
Fang (Imperial Guard),Scintilla,12.0
D'ken Neramani,Hobgoblin (Imperial Guard),12.0
Alpha Flight,Shiro Yoshida,12.0
Samuel Guthrie,Fantastic Four,12.0
Illyana Rasputina,Jonathan Storm,12.0
Jean Grey,Tanya Anderssen,12.0
Zabu,Kallark,12.0
Jonathan Storm,Roberto Da Costa,12.0
Piotr Rasputin (Earth-8280),Belasco,12.0
Starbolt,Alexander Summers,12.0
Frederick Dukes,Michael Twoyoungmen,12.0
Alexander Summers,Selene Gallio,12.0
Vril-Rokk,Mentor (Imperial Guard),12.0
Walter Langkowski,Shiro Yoshida,12.0
Charles Xavier,Abraham Kieros,12.0
Sybil (Oracle),Moira MacTaggert (Earth-TRN748),12.0
Kevin Plunder,Titan,12.0
Executioner (Crazy Gang),Piotr Rasputin,12.0
Mortimer Toynbee,Cain Marko,12.0
Susan Storm,New Mutants,12.0
Sebastian Shaw,Lorna Dane,12.0
Phoenix Force,David Munroe,12.0
Sybil (Oracle),Hobgoblin (Imperial Guard),12.0
Wanda Maximoff,Candace Southern,12.0
Luchino Nefaria,Lorna Dane,12.0
X-Men,Executioner (Crazy Gang),12.0
Frederick Dukes,Alpha Flight,12.0
Alexander Summers,Scintilla,12.0
Jimaine Szardos,Carol Danvers,12.0
Scintilla,Kallark,12.0
Townshend Horgan,Lorna Dane,12.0
Brian Braddock,Carol Danvers,12.0
Jonathan Storm,Illyana Rasputina,12.0
Loki Laufeyson,Cain Marko,12.0
Benjamin Grimm,Max Eisenhardt,12.0
James Hudson,Arcade,12.0
Kevin MacTaggert,Jean Grey,12.0
Gordon Keefer,Jean Grey,12.0
Starbolt,Lorna Dane,12.0
Alexander Summers,James Hudson,12.0
Scintilla,Alexander Summers,12.0
Moira MacTaggert (Earth-TRN748),Starbolt,12.0
Jean Grey,Karl Lykos,12.0
Fang (Imperial Guard),Grannz,12.0
Alexander Summers,Townshend Horgan,12.0
Rahne Sinclair,Janet Van Dyne,12.0
Frederick Dukes,Sebastian Shaw,12.0
Benjamin Grimm,Hellfire Club,12.0
Jean Grey,Starbolt,12.0
Frederick Dukes,Arcade,12.0
Samuel Guthrie,Avengers,12.0
Carol Danvers,Punchout,12.0
Nicholas Fury,Henry McCoy,12.0
Phoenix Force,Stephen Strange,12.0
Rogue (Anna Marie),Gabrielle Haller,12.0
Titan,Thomas Cassidy,12.0
Jean Grey,Gordon Keefer,12.0
Jonathan Storm,Samuel Guthrie,12.0
Sean Cassidy,Vanisher,12.0
Zabu,Imperial Guard,12.0
Jonathan Storm,Susan Storm,12.0
Jimaine Szardos,Elaine Grey,12.0
Candace Southern,Lorna Dane,12.0
Mentor (Imperial Guard),Electron (Imperial Guard),12.0
Kevin Plunder,Imperial Guard,12.0
Piotr Rasputin (Earth-8280),Ororo Munroe (Earth-8280),12.0
Lorna Dane,Moses Magnum,12.0
Steven Rogers,Hepzibah,12.0
Alexander Summers,Francois Le Blanc,12.0
Max Eisenhardt,Benjamin Grimm,12.0
Sean Cassidy,Stephen Strange,12.0
Sebastian Shaw,Stephen Strange,12.0
Scintilla,Lorna Dane,12.0
Benjamin Grimm,Fang (Imperial Guard),12.0
Thomas Cassidy,Scintilla,12.0
Avengers,Samuel Guthrie,12.0
Shiro Yoshida,Francois Le Blanc,12.0
Fantastic Four,Illyana Rasputina,12.0
Fantastic Four,New Mutants,12.0
Shiro Yoshida,Jean-Paul Beaubier,12.0
Piotr Rasputin,Nga Coy Manh,12.0
Fran Morrow,Sally Harding,12.0
Piotr Rasputin,Jester IV,12.0
Frederick Dukes,Candace Southern,12.0
Frederick Dukes,James Hudson,12.0
Candace Southern,Wanda Maximoff,12.0
Thomas Cassidy,Frederick Dukes,12.0
Townshend Horgan,Alexander Summers,12.0
D'ken Neramani,Fang (Imperial Guard),12.0
Jason Wyngarde,Arcade,12.0
Ororo Munroe (Earth-8280),Piotr Rasputin (Earth-8280),12.0
Fang (Imperial Guard),Sean Cassidy,12.0
Lorna Dane,Ani-Men,12.0
Lilandra Neramani,Sage,12.0
Starbolt,Electron (Imperial Guard),12.0
Scintilla,Phoenix Force,12.0
Zelda Kurtzberg,Vera Cantor,12.0
Lilandra Neramani,Selene Gallio,12.0
Hobgoblin (Imperial Guard),Scintilla,12.0
Mentor (Imperial Guard),Vril-Rokk,12.0
Kevin Plunder,Lorna Dane,12.0
Janet Van Dyne,New Mutants,12.0
Harold Leland,Peter Parker,12.0
Starbolt,Hobgoblin (Imperial Guard),12.0
Leong Coy Manh,Nga Coy Manh,12.0
Amara Aquilla,Sean Cassidy,12.0
Gordon Keefer,Alexander Summers,12.0
Scintilla,Astra (Imperial Guard),12.0
Peter Parker,Benjamin Grimm,12.0
Katherine Summers,Sikorsky,12.0
Jonathan Storm,D'ken Neramani,12.0
Garokk,Tanya Anderssen,12.0
Moses Magnum,Kevin MacTaggert,12.0
Thomas Cassidy,Jason Wyngarde,12.0
Lorna Dane,Francois Le Blanc,12.0
Samuel Guthrie,Benjamin Grimm,12.0
Grannz,Neutron (Imperial Guard),12.0
Max Eisenhardt,Garokk,12.0
Candace Southern,Namor McKenzie,12.0
Electron (Imperial Guard),Alexander Summers,12.0
Michael Twoyoungmen,Frederick Dukes,12.0
Phoenix Force,Fang (Imperial Guard),12.0
Shiro Yoshida,Alpha Flight,12.0
Arcade,Frederick Dukes,12.0
Lorna Dane,Astra (Imperial Guard),12.0
Donald Pierce,Master Mold,12.0
Ani-Men,Alexander Summers,12.0
Tanya Anderssen,Thomas Cassidy,12.0
Imperial Guard,Alexander Summers,12.0
Moira MacTaggert (Earth-TRN748),Imperial Guard,12.0
Lorna Dane,Candace Southern,12.0
Imperial Guard,Scintilla,12.0
Peter Parker,Phoenix Force,12.0
Janet Van Dyne,Samuel Guthrie,12.0
Janet Van Dyne,Rahne Sinclair,12.0
Benjamin Grimm,Sebastian Shaw,12.0
Avengers,New Mutants,12.0
Shiro Yoshida,Luchino Nefaria,12.0
Vera Cantor,Max Eisenhardt,12.0
Max Eisenhardt,Vera Cantor,12.0
Wanda Maximoff,X-Factor,12.0
Hobgoblin (Imperial Guard),D'ken Neramani,12.0
Stephen Strange,Frederick Dukes,12.0
Jean Grey,Davan Shakari,12.0
Imperial Guard,Thomas Cassidy,12.0
Nguyen Ngoc Coy,Ophelia Sarkissian,12.0
Susan Storm,Jonathan Storm,12.0
Vril-Rokk,Fang (Imperial Guard),12.0
X-Men,Red Queen,12.0
Sean Cassidy,Amara Aquilla,12.0
Zabu,Titan,12.0
Thomas Cassidy,Kallark,12.0
Moira MacTaggert (Earth-TRN748),Moses Magnum,12.0
Benjamin Grimm,Hobgoblin (Imperial Guard),12.0
Hepzibah,Steven Rogers,12.0
Candace Southern,Pietro Maximoff,12.0
Shiro Yoshida,Michael Twoyoungmen,12.0
Shiro Yoshida,Puff,12.0
Benjamin Grimm,Grannz,12.0
Hellfire Club,Benjamin Grimm,12.0
Fang (Imperial Guard),D'ken Neramani,12.0
Alexander Summers,John Proudstar,12.0
Francois Le Blanc,Lorna Dane,12.0
Lorna Dane,Scintilla,12.0
Cain Marko,Loki Laufeyson,12.0
Alexander Summers,Electron (Imperial Guard),12.0
New Mutants,Janet Van Dyne,12.0
Samuel Guthrie,Janet Van Dyne,12.0
Grannz,Astra (Imperial Guard),12.0
Alexander Summers,Veronica Dultry,12.0
Sybil (Oracle),Zabu,12.0
Frederick Dukes,Donald Pierce,12.0
Max Eisenhardt,Fang (Imperial Guard),12.0
Candace Southern,Donald Pierce,12.0
Shiro Yoshida,Narya,12.0
Abraham Kieros,Charles Xavier,12.0
Lilandra Neramani,Beyonder,12.0
James Hudson,Alexander Summers,12.0
Veronica Dultry,Jean Grey,12.0
Neutron (Imperial Guard),Soul-Drinker,12.0
Ani-Men,Jean Grey,12.0
James Hudson,Kallark,12.0
Hobgoblin (Imperial Guard),Vril-Rokk,12.0
Henry Hawk,Shiro Yoshida,12.0
Thomas Cassidy,Fang (Imperial Guard),12.0
Max Eisenhardt,Namor McKenzie,12.0
Phoenix Force,Karl Lykos,12.0
Cr'reee,Steven Rogers,12.0
Fang (Imperial Guard),Benjamin Grimm,12.0
Electron (Imperial Guard),Grannz,12.0
Namor McKenzie,Phoenix Force,12.0
Jean Grey,Townshend Horgan,12.0
Imperial Guard,Zabu,12.0
Hobgoblin (Imperial Guard),Imperial Guard,12.0
Imperial Guard,Jonathan Storm,12.0
D'ken Neramani,Sybil (Oracle),12.0
Shiro Yoshida,Moira MacTaggert (Earth-TRN748),12.0
Candace Southern,Harold Leland,12.0
Cain Marko,Fang (Imperial Guard),12.0
Sybil (Oracle),D'ken Neramani,12.0
Joseph MacTaggert,Jennie Banks,12.0
Henry McCoy,Nicholas Fury,12.0
Titan,Jonathan Storm,12.0
Hobgoblin (Imperial Guard),Max Eisenhardt,12.0
Ophelia Sarkissian,Nguyen Ngoc Coy,12.0
Puff,James Howlett,12.0
Candace Southern,Arcade,12.0
Electron (Imperial Guard),Scintilla,12.0
Imperial Guard,Moira MacTaggert (Earth-TRN748),12.0
Benjamin Grimm,Stephen Strange,12.0
Hellfire Club,Stephen Strange,12.0
Brotherhood of Evil Mutants,Henry McCoy,12.0
Vera Cantor,Frederick Dukes,12.0
Max Eisenhardt,Electron (Imperial Guard),12.0
Cain Marko,Mortimer Toynbee,12.0
Red Queen,Piotr Rasputin,12.0
Starbolt,Thomas Cassidy,12.0
Electron (Imperial Guard),Hobgoblin (Imperial Guard),12.0
Nathan Summers,Candace Southern,12.0
Scintilla,Titan,12.0
Cain Marko,Kallark,12.0
Vril-Rokk,Zabu,12.0
Vril-Rokk,Kevin Plunder,12.0
Scintilla,Cain Marko,12.0
Jean Grey,D'ken Neramani,12.0
Francois Le Blanc,Jean Grey,12.0
Scintilla,Benjamin Grimm,12.0
Gordon Keefer,Shiro Yoshida,12.0
August Hopper,Jean Grey,12.0
New Mutants,Jonathan Storm,12.0
Benjamin Grimm,Sybil (Oracle),12.0
Max Eisenhardt,Astra (Imperial Guard),12.0
James Hudson,Lorna Dane,12.0
Thomas Cassidy,Astra (Imperial Guard),12.0
Astra (Imperial Guard),Scintilla,12.0
Fantastic Four,Samuel Guthrie,12.0
Astra (Imperial Guard),Cain Marko,12.0
Cain Marko,Sybil (Oracle),12.0
Starbolt,Jean Grey,12.0
Fang (Imperial Guard),Thomas Cassidy,12.0
John Proudstar,Alexander Summers,12.0
Moira MacTaggert (Earth-TRN748),Luchino Nefaria,12.0
D'ken Neramani,James Hudson,12.0
James Hudson,Imperial Guard,12.0
Benjamin Grimm,Harold Leland,12.0
Hobgoblin (Imperial Guard),Astra (Imperial Guard),12.0
Max Eisenhardt,Neutron (Imperial Guard),12.0
Cain Marko,Vril-Rokk,12.0
Peter Parker,Hellfire Club,12.0
Master Mold,Donald Pierce,12.0
Grannz,Cain Marko,12.0
Thomas Cassidy,Electron (Imperial Guard),12.0
Grannz,D'ken Neramani,12.0
Raza Longknife,Steven Rogers,12.0
Mentor (Imperial Guard),Soul-Drinker,12.0
Ani-Men,Lorna Dane,12.0
Sentinels Mk VI,Charles Xavier,12.0
Candace Southern,Nathan Summers,12.0
Harold Leland,Lorna Dane,12.0
Thomas Cassidy,Benjamin Grimm,12.0
Vanisher,Hellfire Club,12.0
Benjamin Grimm,Samuel Guthrie,12.0
Shiro Yoshida,Veronica Dultry,12.0
Francois Le Blanc,Shiro Yoshida,12.0
Harold Leland,Max Eisenhardt,12.0
Avengers,Amara Aquilla,12.0
Ani-Men,Shiro Yoshida,12.0
Gabrielle Haller,Rogue (Anna Marie),12.0
Grannz,Alexander Summers,12.0
Soul-Drinker,Vril-Rokk,12.0
Michael Twoyoungmen,Shiro Yoshida,12.0
Kevin Plunder,Kallark,12.0
Autumn Rolfson,Charles Xavier,12.0
Belasco,Piotr Rasputin (Earth-8280),12.0
Veronica Dultry,Lorna Dane,12.0
Sally Harding,Fran Morrow,12.0
Luchino Nefaria,Moira MacTaggert (Earth-TRN748),12.0
Roberto Da Costa,Benjamin Grimm,12.0
Amara Aquilla,Avengers,12.0
Grannz,Fang (Imperial Guard),12.0
Astra (Imperial Guard),Max Eisenhardt,12.0
Vril-Rokk,Jean Grey,12.0
Hobgoblin (Imperial Guard),Fang (Imperial Guard),12.0
Mesmero (Vincent),Vera Cantor,12.0
Nga Coy Manh,Piotr Rasputin,12.0
Steven Rogers,Lilandra Neramani,12.0
Benjamin Grimm,New Mutants,12.0
Jonathan Storm,Imperial Guard,12.0
Max Eisenhardt,Hobgoblin (Imperial Guard),12.0
Brotherhood of Evil Mutants,Robert Drake,12.0
Mortimer Toynbee,Candace Southern,12.0
Moira MacTaggert (Earth-TRN748),John Proudstar,12.0
N'Daré,Phoenix Force,12.0
Scintilla,Imperial Guard,12.0
Ch'od,Steven Rogers,12.0
Scintilla,Max Eisenhardt,12.0
Cain Marko,Starbolt,12.0
Lorna Dane,John Proudstar,12.0
Death,Peg Lonestar,12.0
Samuel Guthrie,Susan Storm,12.0
Fang (Imperial Guard),Hobgoblin (Imperial Guard),12.0
Soul-Drinker,Neutron (Imperial Guard),12.0
New Mutants,Avengers,12.0
Lorna Dane,Townshend Horgan,12.0
Vril-Rokk,Scintilla,12.0
Alexander Summers,Grannz,12.0
Vision (Earth-8591),Wanda Maximoff (Earth-8591),12.0
Sally Harding,Norman Belmont,12.0
Alexander Summers,Astra (Imperial Guard),12.0
Max Eisenhardt,Scintilla,12.0
X-Factor,Callisto,12.0
Neutron (Imperial Guard),Lorna Dane,12.0
Susan Storm,Samuel Guthrie,12.0
Shiro Yoshida,Gordon Keefer,12.0
Selene Gallio,Lilandra Neramani,12.0
