,character name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235
23,Avengers,444,444,444,444,444,640,444,120,440,460,320,320,320,320,220,360,360,360,360,20,240,320,20,712,408,0,200,220,0,100,0,0,0,0,200,200,200,200,0,100,100,0,100,100,200,200,200,300,200,200,200,200,0,100,0,0,0,0,0,0,0,0,120,0,200,100,0,0,0,4,100,0,0,0,0,0,300,0,0,0,4,0,0,0,0,0,0,0,0,0,20,0,200,100,4,0,100,0,104,104,104,104,4,4,100,20,4,20,0,0,0,0,0,0,100,100,0,0,0,104,20,0,100,100,0,100,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,100,0,100,200,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,100,0,0,0,100,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Henry McCoy,3368,3368,3352,3352,2736,9216,1812,1588,3244,3172,8416,8412,8412,8408,8088,1808,1788,1808,1788,40,2348,8056,844,408,9256,808,0,964,24,300,104,20,100,360,1588,1588,1588,1588,160,124,1124,500,940,940,160,144,144,168,144,144,220,320,120,400,220,140,0,120,100,344,124,120,280,100,504,120,460,240,140,504,480,120,0,0,0,200,720,824,200,0,140,104,1104,1104,504,804,604,20,140,200,1920,48,0,144,972,20,44,220,1160,1260,1260,1260,260,1160,1324,844,24,124,920,320,0,20,424,20,44,2000,140,1520,0,44,20,100,680,0,100,0,0,100,804,404,3384,3384,3384,3384,3304,3304,3304,3304,3464,3464,3464,3464,3384,3384,3384,3384,240,120,604,300,420,300,400,200,7524,1324,0,0,500,300,400,200,300,20,20,0,0,0,940,2100,3240,200,300,700,600,200,700,400,400,2480,4320,4320,920,500,400,0,0,20,120,100,100,1120,300,400,1200,100,1200,2800,2500,100,0,0,0,0,0,2500,2700,3000,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,700,700,700,700,700,800,100,0,0,0,0,0
25,Moira MacTaggert (Earth-TRN748),4980,4980,4980,4980,4404,3464,3700,1648,4600,4504,1288,1288,1268,1268,1220,3704,3704,3704,3704,104,3548,680,2224,0,808,6516,200,1224,608,500,244,204,100,524,1548,1548,1548,1548,304,520,1728,1220,524,524,520,404,304,704,304,304,104,224,104,300,4,200,300,324,320,624,204,320,1164,0,2000,200,604,304,524,700,104,200,500,500,500,420,200,724,520,500,600,300,1200,1100,500,700,420,300,720,400,100,648,120,204,1524,100,600,540,1660,1260,1260,1640,1240,1280,124,620,200,1100,0,200,0,100,300,100,640,0,200,1320,100,440,0,200,920,0,0,200,0,300,600,100,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,100,420,120,20,20,100,20,20,500,1520,900,700,200,20,400,200,400,120,420,400,400,300,0,0,100,200,100,200,200,220,0,0,200,0,200,200,920,0,0,300,400,420,520,300,100,1020,1500,600,0,100,500,400,400,200,0,0,0,0,0,0,100,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,100,100,0,0
26,Shi'ar Imperial Fleet,700,700,700,700,700,700,700,400,700,700,100,100,100,100,0,700,700,700,700,0,300,0,300,200,0,200,700,620,0,100,0,0,0,0,220,220,220,220,0,200,100,100,200,200,400,400,200,500,300,300,200,200,100,300,0,0,0,0,0,0,0,0,100,0,400,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,300,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Lilandra Neramani,4104,4104,4024,4024,3804,3600,3700,1184,3680,4080,700,700,700,700,580,4400,4400,4300,4300,120,1644,260,840,220,964,1224,620,4820,204,600,100,240,100,424,1424,1424,1424,1424,240,540,1020,300,700,700,2020,1804,1204,2364,1804,1704,840,1060,720,720,120,320,200,220,200,440,120,120,1200,20,2180,100,444,124,20,4,20,104,0,0,0,120,320,160,620,120,420,200,220,220,120,120,140,20,100,0,100,1624,740,904,864,120,700,520,1120,1120,1120,1120,1120,1120,724,120,120,120,0,0,400,20,40,20,424,0,104,300,0,520,0,200,500,0,0,0,0,300,20,20,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,100,0,20,0,0,0,0,0,120,304,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,100,300,0,0,100,0,0,0,120,100,0,0,0,0,0,300,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,120,20,20,0,0,0
28,Jimaine Szardos,1540,1540,1540,1540,1440,880,1460,340,1140,1540,104,104,104,104,220,1140,1140,1140,1140,0,724,120,420,0,24,608,0,204,1812,100,100,100,0,300,24,24,24,24,100,0,304,100,104,104,20,4,4,204,4,4,0,0,0,0,0,100,200,520,520,40,200,120,444,0,844,300,300,100,200,0,200,200,400,400,400,0,100,300,520,100,220,200,400,300,300,300,300,0,320,100,200,104,0,4,620,0,0,240,140,40,40,20,20,140,240,500,400,500,100,400,0,0,100,0,20,100,0,400,100,0,0,0,0,0,0,0,0,100,200,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,200,0,0,0,0,0,0,0,100,200,200,0,0,0,0,0,120,300,300,300,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,300,200,200,20,0,300,300,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
29,Peter Corbeau,1100,1100,1100,1100,1100,1100,1100,200,1100,1100,600,600,600,600,220,1000,1000,1000,1000,0,700,0,200,100,300,500,100,600,100,1100,100,300,0,200,540,540,540,540,200,100,200,0,200,200,400,400,300,400,400,400,200,320,200,300,0,0,0,0,0,0,100,0,200,0,300,0,100,100,0,0,0,0,0,0,0,120,200,20,0,0,0,100,100,100,0,0,20,0,100,0,0,300,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Nicholas Fury,500,500,500,500,204,304,100,4,500,424,340,340,340,340,100,204,204,204,204,0,360,100,140,0,104,244,0,100,100,100,720,200,500,100,0,0,0,0,100,0,200,100,0,0,0,0,0,0,0,0,100,100,100,0,100,24,0,0,0,0,0,0,0,0,0,100,100,0,40,4,0,100,20,20,20,0,0,100,0,0,0,100,100,100,0,0,0,100,0,100,0,116,200,0,404,0,0,0,0,200,200,0,0,100,4,20,0,0,0,0,0,0,200,0,0,0,0,360,0,0,0,0,0,0,200,0,0,200,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,40,0,0,0,0,0,0,200,280,20,0,0,0,0,0,0,4,40,20,20,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,20,20,0,0,160,140,200,0,100,300,200,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,200,200,200,100,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,20
31,Thomas Cassidy,740,740,740,740,720,620,720,224,720,720,204,204,204,204,20,420,420,420,420,4,704,20,224,0,20,204,0,240,100,300,200,1208,300,4,404,404,404,404,1024,200,124,100,20,20,100,100,100,100,100,100,104,104,104,0,104,0,200,204,200,104,304,100,0,0,20,0,4,4,4,20,4,0,0,0,0,0,0,104,0,0,0,100,0,0,0,0,0,100,0,300,0,0,0,0,20,0,0,0,0,500,500,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,340,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,200,500,300,300,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,120
32,"Strategic Homeland Intervention, Enforcement and Logistics Division",300,300,300,300,100,200,0,0,300,300,200,200,200,200,100,100,100,100,100,0,400,100,100,0,100,100,0,100,0,0,500,300,900,100,0,0,0,0,200,0,200,100,0,0,0,0,0,0,0,0,100,100,100,0,120,0,0,0,0,0,100,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,100,100,0,0,0,100,0,400,0,100,200,0,400,0,0,0,0,500,500,0,0,200,0,0,0,0,0,20,0,0,100,0,0,0,0,300,0,0,0,0,0,0,500,0,0,200,0,0,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,300,0,0,0,0,0,0,0,0,0,100,200,0,100,300,420,200,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,400,500,200,400,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,220
33,Hellfire Club,2464,2464,2384,2384,2384,1200,2000,508,1700,2260,744,744,744,744,560,1684,1684,1684,1684,4,444,160,204,0,360,524,0,424,300,200,100,4,100,4116,844,844,744,744,4,0,1004,100,20,20,100,100,100,100,100,100,4,4,4,100,4,20,0,4,0,724,104,120,1400,120,1460,2220,3208,1008,604,764,204,1604,200,200,200,500,500,4,200,120,520,0,0,0,0,0,0,0,100,0,300,400,0,100,1044,600,424,400,1920,1920,1920,1920,1920,1620,24,420,220,520,100,100,200,0,0,0,724,300,1724,0,0,1240,400,0,920,600,600,600,600,240,0,100,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,300,100,220,200,100,200,200,100,220,424,100,100,200,0,0,0,0,200,100,100,0,0,100,0,100,0,0,0,0,0,0,200,0,0,200,200,100,100,100,100,100,0,0,120,100,0,0,0,0,0,0,200,200,500,600,600,600,0,400,300,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,100,0,0
34,Phoenix Force,3708,3708,3708,3708,3608,3644,3320,1384,3708,3676,1676,1676,1676,1676,1104,2604,2604,2604,2604,104,2412,584,1204,200,1588,1548,220,1424,24,540,0,404,0,844,3656,3556,3556,3456,424,620,824,620,860,860,500,484,444,504,384,384,404,504,204,520,104,144,200,104,100,1048,104,160,40,100,744,340,724,604,524,540,204,120,120,120,120,300,220,24,0,120,280,4,20,20,20,20,20,20,40,0,100,108,0,4,588,0,0,180,120,120,120,120,20,120,384,120,0,100,0,0,20,20,20,0,20,120,100,100,0,0,0,0,20,0,0,0,0,100,20,20,524,524,524,524,524,524,524,524,540,540,540,540,540,540,540,540,0,120,300,0,200,200,200,100,540,520,0,0,104,300,0,0,0,4,20,20,20,20,100,0,240,0,0,0,0,0,0,100,0,100,200,200,120,0,0,20,0,20,20,140,120,0,0,100,0,0,100,120,200,0,0,0,0,0,0,140,120,240,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
35,Phoenix Force,3608,3608,3608,3608,3508,3644,3320,1284,3608,3576,1576,1576,1576,1576,1104,2504,2504,2504,2504,104,2412,584,1104,200,1588,1548,220,1424,24,540,0,404,0,844,3556,3556,3456,3456,424,620,824,620,760,760,500,484,444,504,384,384,404,504,204,520,104,144,200,104,100,1048,104,160,40,100,744,340,724,604,524,440,204,120,120,120,120,300,120,24,0,120,280,4,20,20,20,20,20,20,40,0,100,108,0,4,488,0,0,180,120,120,120,120,20,120,284,120,0,100,0,0,20,20,20,0,20,120,100,100,0,0,0,0,20,0,0,0,0,100,20,20,424,424,424,424,424,424,424,424,440,440,440,440,440,440,440,440,0,120,200,0,100,100,100,0,540,420,0,0,104,200,0,0,0,4,20,20,20,20,0,0,240,0,0,0,0,0,0,0,0,100,200,200,120,0,0,20,0,20,20,140,120,0,0,100,0,0,100,120,200,0,0,0,0,0,0,140,120,240,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
36,Phoenix Force,3608,3608,3608,3608,3508,3544,3220,1384,3608,3576,1576,1576,1576,1576,1104,2504,2504,2504,2504,104,2412,584,1204,200,1588,1548,220,1424,24,540,0,404,0,744,3556,3456,3556,3456,424,620,824,620,860,860,500,484,444,504,384,384,404,504,204,520,104,144,200,104,100,948,104,160,40,100,644,240,724,604,524,440,204,120,120,120,120,300,220,24,0,120,280,4,20,20,20,20,20,20,40,0,100,108,0,4,588,0,0,180,120,120,120,120,20,120,384,120,0,100,0,0,20,20,20,0,20,120,100,100,0,0,0,0,20,0,0,0,0,100,20,20,524,524,524,524,524,524,524,524,540,540,540,540,540,540,540,540,0,120,300,0,200,200,200,100,540,520,0,0,104,300,0,0,0,4,20,20,20,20,100,0,240,0,0,0,0,0,0,100,0,100,200,200,120,0,0,20,0,20,20,140,120,0,0,100,0,0,100,120,200,0,0,0,0,0,0,140,120,240,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
37,Phoenix Force,3508,3508,3508,3508,3408,3544,3220,1284,3508,3476,1476,1476,1476,1476,1104,2404,2404,2404,2404,104,2412,584,1104,200,1588,1548,220,1424,24,540,0,404,0,744,3456,3456,3456,3456,424,620,824,620,760,760,500,484,444,504,384,384,404,504,204,520,104,144,200,104,100,948,104,160,40,100,644,240,724,604,524,340,204,120,120,120,120,300,120,24,0,120,280,4,20,20,20,20,20,20,40,0,100,108,0,4,488,0,0,180,120,120,120,120,20,120,284,120,0,100,0,0,20,20,20,0,20,120,100,100,0,0,0,0,20,0,0,0,0,100,20,20,424,424,424,424,424,424,424,424,440,440,440,440,440,440,440,440,0,120,200,0,100,100,100,0,540,420,0,0,104,200,0,0,0,4,20,20,20,20,0,0,240,0,0,0,0,0,0,0,0,100,200,200,120,0,0,20,0,20,20,140,120,0,0,100,0,0,100,120,200,0,0,0,0,0,0,140,120,240,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
38,Cain Marko,1260,1260,1260,1260,1060,760,924,544,1060,1060,244,224,244,224,160,424,424,424,424,4,704,160,424,0,160,304,0,240,100,200,100,1024,200,4,424,424,424,424,1812,200,224,100,40,40,100,100,100,100,100,100,104,104,104,0,104,4,200,204,200,104,324,200,300,0,420,0,4,4,4,440,4,0,0,0,0,0,100,204,0,100,200,100,200,200,100,100,100,100,0,300,0,20,0,0,640,0,0,200,0,400,400,0,0,100,224,100,0,100,0,0,0,100,200,0,0,0,100,100,100,0,100,0,0,0,400,0,0,0,100,104,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,0,0,20,0,0,20,0,0,220,440,0,0,20,20,200,200,100,120,0,0,0,0,0,100,0,20,20,0,20,20,20,20,20,100,120,120,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,400,200,300,400,400,0,0,0,0,100,100,100,100,100,0,100,0,0,100,300,120
39,Mercedes Knight,1120,1120,1120,1120,1120,1120,1120,500,1120,1120,24,24,4,4,24,720,720,720,720,300,1020,24,500,100,124,520,200,540,0,100,0,200,0,0,620,620,620,620,200,1104,100,300,400,400,200,200,200,300,100,100,100,100,0,0,0,300,600,100,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Max Eisenhardt,3424,3424,3344,3344,2604,2120,2064,544,2660,2924,788,788,788,788,824,2284,2284,2184,2184,4,1384,724,644,100,1124,1728,100,1020,304,200,200,124,200,1004,824,824,824,824,224,100,6424,304,324,324,700,600,500,700,500,500,204,204,204,100,24,20,0,24,20,224,4,20,2944,0,1884,1300,804,104,204,620,104,500,200,200,200,0,200,344,420,200,700,140,420,320,320,340,320,120,1040,120,220,620,300,300,1880,800,1420,600,3840,3360,3360,3440,3340,2860,340,560,240,640,0,40,200,120,240,20,2280,200,900,720,100,1760,100,220,2640,500,340,700,320,820,320,220,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,1020,300,460,340,260,300,340,240,720,920,1000,800,420,20,100,100,100,220,200,200,200,100,240,200,500,0,0,0,0,0,0,100,0,100,200,200,400,0,0,100,100,120,220,0,0,100,300,300,0,0,300,120,100,100,320,420,320,0,400,400,100,300,0,0,0,20,0,20,0,20,4,0,20,20,200,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0
41,James Madrox,1120,1120,1120,1120,1120,1020,720,720,1120,1020,500,500,500,500,420,1000,1000,1000,1000,100,1020,400,1020,0,500,1220,100,300,100,0,100,100,100,100,620,620,620,620,100,300,304,1304,100,100,100,100,100,100,0,0,0,0,0,100,0,100,200,100,100,400,0,100,0,100,200,200,100,100,100,0,0,0,0,0,0,0,0,0,100,0,100,0,300,300,0,0,0,0,100,300,0,0,0,0,500,0,0,100,200,100,100,300,200,0,0,100,0,0,0,0,0,0,100,0,200,0,0,400,0,0,0,0,200,0,100,100,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,400,400,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,100,100,100,100,100,100,300,600,400,0,0,500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
42,John Grey,1520,1520,1520,1520,1520,1640,1020,840,1620,1440,864,864,844,844,940,960,960,960,960,20,640,840,640,100,940,524,200,700,104,200,0,20,0,20,860,760,860,760,40,400,324,100,1804,1804,400,400,400,400,300,300,220,320,20,200,20,20,0,140,120,20,20,0,204,0,320,0,20,20,20,500,120,0,0,0,0,0,100,220,120,0,200,0,200,200,100,200,100,100,120,0,100,100,0,0,700,0,0,0,100,100,100,100,100,100,720,0,0,0,0,0,0,100,100,0,100,200,0,100,0,0,0,100,100,0,0,0,0,0,200,100,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0,0,400,100,300,300,300,200,600,500,0,0,200,400,0,0,0,100,0,0,0,0,200,100,0,0,0,0,0,0,0,400,0,120,300,300,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
43,Elaine Grey,1520,1520,1520,1520,1520,1640,1020,840,1620,1440,864,864,844,844,940,960,960,960,960,20,640,840,640,100,940,524,200,700,104,200,0,20,0,20,860,760,860,760,40,400,324,100,1804,1804,400,400,400,400,300,300,220,320,20,200,20,20,0,140,120,20,20,0,204,0,320,0,20,20,20,500,120,0,0,0,0,0,100,220,120,0,200,0,200,200,100,200,100,100,120,0,100,100,0,0,700,0,0,0,100,100,100,100,100,100,720,0,0,0,0,0,0,100,100,0,100,200,0,100,0,0,0,100,100,0,0,0,0,0,200,100,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0,0,400,100,300,300,300,200,600,500,0,0,200,400,0,0,0,100,0,0,0,0,200,100,0,0,0,0,0,0,0,400,0,120,300,300,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
44,Starjammers,1820,1820,1740,1740,1740,1540,1620,500,1720,1820,40,40,40,40,40,1900,1900,1800,1800,0,520,40,300,200,160,520,400,2020,20,400,0,100,0,100,500,500,500,500,100,200,700,100,400,400,2100,1820,1220,2020,1820,1720,500,620,400,300,0,100,0,0,0,200,0,100,800,0,1300,100,100,0,0,0,0,100,0,0,0,20,200,40,100,100,400,100,120,120,20,20,40,0,0,0,0,1240,420,820,640,100,400,400,600,600,600,600,600,600,400,20,20,20,0,0,100,0,20,0,400,0,100,100,0,400,0,200,500,0,0,0,0,100,20,20,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,0,20,0,0,0,0,0,20,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
45,Ch'od,1540,1540,1460,1460,1460,1260,1340,420,1440,1540,40,40,40,40,40,1720,1720,1620,1620,0,504,40,300,200,144,404,400,1804,4,400,0,100,0,100,484,484,484,484,100,200,600,100,400,400,1820,1804,1204,1804,1704,1604,500,620,400,300,0,100,0,0,0,120,0,100,800,0,1020,100,100,0,0,0,0,100,0,0,0,20,200,40,100,100,400,100,120,120,20,20,40,0,0,0,0,1024,320,604,560,100,400,220,600,600,600,600,600,600,320,20,20,20,0,0,100,0,20,0,400,0,100,100,0,400,0,200,500,0,0,0,0,100,20,20,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,0,20,0,0,0,0,0,20,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
46,Cr'reee,1020,1020,940,940,940,940,940,420,920,1020,40,40,40,40,40,1120,1120,1120,1120,0,404,40,300,200,144,304,200,1204,4,300,0,100,0,100,444,444,444,444,100,200,500,100,400,400,1220,1204,1204,1204,1104,1004,300,320,200,100,0,100,0,0,0,120,0,0,600,0,520,100,100,0,0,0,0,100,0,0,0,20,100,40,0,0,200,100,120,120,20,20,40,0,0,0,0,704,120,404,440,100,300,120,500,500,500,500,500,500,320,20,20,20,0,0,100,0,20,0,400,0,100,0,0,400,0,200,500,0,0,0,0,0,20,20,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,0,20,0,0,0,0,0,20,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Christopher Summers,2300,2300,2220,2220,2220,2020,2100,832,2100,2300,44,44,44,44,60,2200,2200,2100,2100,0,524,44,508,300,168,704,500,2364,204,400,0,100,0,100,504,504,504,504,100,300,700,100,400,400,2020,1804,1204,2516,1804,1704,600,720,400,400,20,120,100,100,100,140,0,100,900,0,1760,100,100,0,0,0,0,100,0,0,0,20,400,140,300,100,400,200,220,220,120,120,140,0,120,0,0,1324,520,804,580,100,400,440,600,600,600,600,600,600,440,20,20,20,0,0,120,0,20,0,400,0,100,100,0,400,0,200,500,0,0,0,0,100,20,20,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,0,20,0,0,0,0,0,20,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
48,Hepzibah,1540,1540,1460,1460,1460,1260,1340,320,1440,1540,40,40,40,40,40,1620,1620,1520,1520,0,404,40,200,200,144,304,300,1804,4,400,0,100,0,100,384,384,384,384,100,100,500,0,300,300,1820,1704,1104,1804,1804,1704,500,620,400,300,0,100,0,0,0,120,0,100,800,0,1120,100,100,0,0,0,0,100,0,0,0,20,200,40,100,100,400,100,120,120,20,20,40,0,0,0,0,1124,320,704,560,100,400,320,600,600,600,600,600,600,320,20,20,20,0,0,100,0,20,0,400,0,100,100,0,400,0,200,500,0,0,0,0,100,20,20,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,0,20,0,0,0,0,0,20,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
